Row,Unfamiliar_Upright,Unfamiliar_Inverted,Familiar_Upright,Familiar_Inverted,Self_Upright,Self_Inverted
AG,0.515376329421997,0.525216184074073,0.545070565631449,0.483820052146912,0.570254995229658,0.478883576265631
AKM,0.426809557962202,0.735480874417776,0.681415108596387,0.34189601874933,0.442222435930942,0.528326819159768
AM,0.403776884078979,0.380428687334061,0.399040950487738,0.327952107168594,0.369581632075771,0.424301980861596
AP,0.660354034385489,0.671949880187576,0.655412159403976,0.721124401589705,0.687276105344037,0.755788249252117
CF,0.682950586512469,0.724076301015484,0.63697075018516,0.726408466177793,0.662049725707551,0.831733943021149
CG,0.658449971948871,0.566036249752398,0.509326789231427,0.398856766455996,0.652670602688844,0.529350268213372
CH,0.562526525544726,0.686138142238964,0.543325141805117,0.535257872704154,0.482385215572282,0.469161189621709
DA,0.22961276854384,0.211743393488098,0.234183513954894,0.206798902109041,0.1948969844928,0.214057863251237
EA,0.33586877168611,0.364177401146192,0.294773143800822,0.366431902120779,0.304613882691597,0.299397706012337
EC,0.269747779812924,0.294970926913348,0.326796999164656,0.323489721270575,0.284417707437104,0.316728178556863
ER,0.543619130262688,0.513205526230183,0.527990100855496,0.521626663208008,0.482447806342703,0.536736343441338
HH,0.736345720291138,0.842393653052194,0.70460531297424,0.813362550966948,0.755696883842127,0.88862488102649
IH,0.273476783780084,0.354004171005515,0.325080799949543,0.371394933767654,0.24124866330151,0.327446073980375
JB,0.447187482609468,0.469002438198989,0.424511337280273,0.375113396704951,0.383006302647571,0.385512857995135
JN,0.421732573150899,0.436556967405172,0.424683887549121,0.426312540672921,0.422290911320516,0.404949217761328
JR,0.474687049048288,0.500484497419425,0.454359202209963,0.510868827344872,0.464031511014051,0.41136486562964
JS,0.517137627327005,0.54907266851415,0.548046532027218,0.546213612144376,0.492576621095156,0.533258354341662
JT,0.668263441384441,0.621752155177734,0.600000001928386,0.695578019515328,0.60895023946687,0.723363366891753
KD,0.708957502716466,0.620064366463176,0.679083422951828,0.666587029053615,0.669791126942289,0.730993688334907
KG,0.58431938184914,0.767664602647225,0.56220545209184,0.727336195477268,0.597059648235639,0.666404335369618
KM1,1.24178047005723,1.15137570900536,0.979661368637634,1.16544974211491,1.08989776601,1.23645731914474
KO,0.941568248739866,1.14874560634295,0.836112894795158,0.902619682782069,0.808475527233548,0.774459220947476
LD,0.376492368656656,0.436698842729841,0.335251644117023,0.469031516099587,0.375060528378154,0.334929841709888
LS,0.301104605443193,0.308700659468367,0.284584254103822,0.264195294473685,0.287130179460983,0.290015364346439
NP,0.676511074775873,0.882322660514287,0.734056793410203,0.787546954435461,0.721826461797261,0.816271830121533
RG,0.530510925511432,0.56621096392346,0.464719117977918,0.517610909670768,0.477835195337831,0.554859506000172
RJ,0.730140473605332,0.666357656206403,0.623471414987942,0.774163187647158,0.707364876446557,0.705112945926082
SH,0.408788449764252,0.430831186699145,0.38234691547625,0.422009304345372,0.339220271693717,0.382158907219833
SP,0.510918214917183,0.588996266496593,0.531853571862376,0.491343055914969,0.707930900590837,0.555118852899275
WJ,1.10578383393839,1.04973077362981,1.11287511320947,1.15704411268234,1.01583717998705,1.06328955596807
